surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
1,0,0.5370370370370363,0.5844155844155845,0.22727272727272727,1,3,6,1,2,3,0,3,3,0.3846153846153847,3,0.2692307692307692,0.03617269544924155,3,0.33,1,5124,0,0,0,2
1,0,0.3148148148148149,0.27272727272727276,0.25,0,3,6,2,3,3,0,3,2,0.15384615384615385,1,0.5769230769230771,0.04317386231038507,1,0.38,1,2208,0,0,1,2
0,0,0.48148148148148184,0.14285714285714285,0.4545454545454545,2,2,3,1,0,3,1,3,0,0.9230769230769232,4,0.4615384615384615,0.04667444574095683,1,0.25,0,0,0,0,1,2
0,0,0.5,0.16883116883116883,0.2727272727272727,2,2,0,1,1,3,1,1,2,0.6153846153846154,1,0.5,0.05484247374562427,1,0.26999999999999996,0,0,0,0,1,2
0,0,0.37037037037037024,0.11688311688311687,0.04545454545454544,1,3,3,1,0,2,3,3,2,0.9230769230769232,4,0.3269230769230769,0.05250875145857643,1,0.25,0,0,0,0,1,2
1,0,0.5,0.8701298701298703,0.31818181818181823,3,2,6,1,0,3,0,3,0,0.7692307692307693,1,0.4038461538461539,0.03967327887981331,3,0.35000000000000003,0,3205,0,0,1,2
1,0,0.48148148148148184,0.2337662337662338,0.04545454545454544,1,3,3,1,1,3,0,3,3,0.5384615384615384,0,0.7115384615384617,0.04784130688448075,3,0.38,1,2124,0,0,1,2
1,0,0.48148148148148184,0.6103896103896105,0.9090909090909091,1,3,1,1,1,3,1,3,2,0.9230769230769232,3,0.30769230769230765,0.1131855309218203,3,0.65,1,2206,0,0,1,2
0,0,0.5370370370370363,0.09090909090909094,0.1818181818181818,3,2,6,1,0,2,1,3,3,0.3076923076923077,4,0.19230769230769235,0.03733955659276546,1,0.35000000000000003,0,31110,0,0,1,2
1,0,0.6296296296296289,0.27272727272727276,0.1818181818181818,0,3,5,1,1,3,0,1,2,0.5384615384615384,0,0.5576923076923077,0.04784130688448075,3,0.32,0,3205,0,0,1,2
1,0,0.48148148148148184,0.2337662337662338,0.04545454545454544,2,2,6,1,3,3,3,1,3,0.3076923076923077,0,0.4038461538461539,0.03267211201866978,3,0.35000000000000003,1,2208,0,0,1,2
1,0,0.685185185185186,0.3506493506493507,0.4545454545454545,1,3,2,1,3,0,0,3,2,0.6153846153846154,1,0.6923076923076923,0.059509918319719954,3,0.32,0,4206,0,0,1,2
1,0,0.48148148148148184,0.4025974025974027,0.22727272727272727,1,3,1,1,1,3,0,2,2,0.15384615384615385,3,0.44230769230769235,0.023337222870478416,3,0.19,1,3111,0,0,0,2
0,0,0.40740740740740744,0.11688311688311687,0.22727272727272727,1,2,3,1,3,3,3,3,2,0.8461538461538461,4,0.5,0.04317386231038507,0,0.35000000000000003,0,0,0,0,1,2
1,0,0.3333333333333339,0.42857142857142855,0.1818181818181818,0,2,6,1,3,3,0,3,1,0.5384615384615384,3,0.1634615384615385,0.03267211201866978,3,0.52,1,3209,0,0,1,2
1,0,0.5740740740740744,0.32467532467532473,0.09090909090909091,1,3,5,2,1,0,0,3,0,0.15384615384615385,0,0.5961538461538463,0.7432905484247374,0,0.19,1,3205,0,0,0,2
1,0,0.3333333333333339,0.24675324675324678,0.04545454545454544,2,2,6,1,3,0,0,3,2,0.9230769230769232,0,0.5,0.04317386231038507,1,0.25,1,2124,0,0,0,2
1,0,0.40740740740740744,0.4025974025974027,0.13636363636363638,1,3,5,1,3,0,0,3,3,0.3076923076923077,0,0.4807692307692308,0.03150525087514586,3,0.33,1,2209,0,0,1,2
1,0,0.518518518518519,0.24675324675324678,0.1818181818181818,2,4,0,1,3,3,0,3,3,0.3076923076923077,4,0.4230769230769231,0.04317386231038507,1,0.35000000000000003,1,3113,0,0,1,2
1,0,0.40740740740740744,0.3506493506493507,0.25,0,3,5,2,1,0,0,1,2,0.0,0,0.6153846153846154,0.056009334889148193,3,0.38,1,2208,0,0,0,2
1,0,0.685185185185186,0.5844155844155845,0.11363636363636365,2,3,1,2,1,3,0,3,3,0.6615384615384615,1,0.7884615384615385,0.05484247374562427,1,0.38,1,2208,0,0,0,2
0,0,0.48148148148148184,0.16883116883116883,0.06818181818181818,2,2,3,1,3,3,1,1,0,0.15384615384615385,4,0.653846153846154,0.7199533255542591,1,0.19,0,0,0,0,1,2
1,0,0.3333333333333339,0.27272727272727276,0.25,0,3,5,2,2,0,2,1,2,0.15384615384615385,3,0.7115384615384617,0.7782963827304551,3,0.19,1,3205,0,0,0,2
1,0,0.5,0.2337662337662338,0.04545454545454544,1,3,1,1,3,3,1,3,3,0.3846153846153847,2,0.4038461538461539,0.04900816802800467,1,0.35000000000000003,1,2124,0,0,1,2
1,0,0.4259259259259265,0.11688311688311687,0.09090909090909091,1,2,5,1,3,3,3,3,0,0.5384615384615384,1,0.23076923076923078,0.04900816802800467,3,0.44,1,3205,0,0,0,2
1,0,0.40740740740740744,0.42857142857142855,0.11363636363636365,1,3,1,2,3,0,3,3,2,0.6153846153846154,3,0.8846153846153848,0.056009334889148193,3,0.19,1,2208,0,0,0,2
0,0,0.518518518518519,0.16883116883116883,0.36363636363636365,1,2,5,1,3,3,0,3,1,1.0,3,0.4615384615384615,0.04550758459743291,0,0.24,0,8300,0,0,1,2
1,0,0.5925925925925934,0.14285714285714285,0.13636363636363638,2,2,3,1,3,3,3,1,2,0.7230769230769232,4,0.4807692307692308,0.04550758459743291,0,0.49,0,0,0,0,1,2
1,0,0.5,0.14285714285714285,0.9999999999999999,1,3,1,1,3,3,0,3,3,0.5230769230769231,2,0.38461538461538464,0.03267211201866978,1,0.35000000000000003,1,2124,0,0,1,2
1,0,0.5,0.32467532467532473,0.48863636363636365,1,3,6,1,1,0,1,3,2,0.15384615384615385,0,0.5961538461538463,0.9183197199533255,3,0.19,1,7209,0,0,0,2
1,0,0.48148148148148184,0.3506493506493507,0.1818181818181818,3,3,6,2,3,0,0,3,0,0.5384615384615384,4,0.24999999999999994,0.03850641773628938,0,0.38,1,3115,0,0,0,2
1,1,0.3888888888888893,0.2337662337662338,0.05681818181818182,1,4,4,1,4,0,2,3,2,0.6153846153846154,1,0.3269230769230769,0.014002333722287048,2,0.0,1,11124,0,0,0,2
0,0,0.3333333333333339,0.11688311688311687,0.1818181818181818,2,2,3,1,5,3,3,1,2,0.0,4,0.36538461538461536,0.8366394399066511,0,0.09,0,0,0,0,0,2
0,0,0.5555555555555554,0.11688311688311687,0.22727272727272727,2,2,3,1,0,3,1,3,1,0.9230769230769232,1,0.5,0.056009334889148193,1,0.14,0,3111,0,0,1,2
1,0,0.44444444444444375,0.14285714285714285,0.09090909090909091,2,3,3,1,1,0,1,3,2,0.15384615384615385,3,0.44230769230769235,0.9066511085180864,0,0.19,1,2205,0,0,0,2
0,0,0.5,0.5064935064935066,0.4545454545454545,0,3,6,1,2,0,0,1,3,0.15384615384615385,1,0.5576923076923077,0.03150525087514586,3,0.19,1,4205,0,0,0,2
0,0,0.3888888888888893,0.3766233766233767,0.1818181818181818,2,3,1,1,3,3,1,0,0,0.46153846153846156,4,0.8846153846153848,0.0571761960326721,1,0.49,0,3111,3112,0,1,2
